gpt_result,location,detail1,detail2,UMLS_normalized,category,super category,super super category
right major fissure,right major fissure,,,Major fissure (C0929208),Fissure of lung,Lung,Respiratory System
right mediastinal,right mediastinal,,,Mediastinum && Cardiac border,,,
right mediastinal and cardiac borders,"right mediastinal border, cardiac border",,,Mediastinum,,,
right mediastinum,right mediastinum,,,Structure of right side of abdomen (C1562301),Abdomen,Abdomen,Abdominal Structures
right mid abdomen,right mid abdomen,,,Abdomen,Abdomen,Abdomen,Abdominal Structures
right mid and infrahilar area,"right mid, infrahilar",,,Structure of middle lobe of lung && Structure of lower lobe of lung,Right lung lobe,Lungs,Respiratory System
right mid and lower lobe,"right mid lobe, right lower lobe",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right mid and lower lung,"right mid lung, right lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right mid and lower portion,"right mid, right lower",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right mid and lower zones,"right mid, right lower",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right mid chest,right mid chest,,,Bone structure of clavicle,Right clavicles,Clavicles,Musculoskeletal System
right mid clavicular,right clavicular,mid,,Structure of right clavicular region,,,
right mid lower lung,right lower lung,mid,,Right lower lung zone (C0929214),Right lung,Lungs,Respiratory System
right mid lower zone,"right mid zone, right lower zone",,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right mid lung,right mid lung,,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right mid lung field,right mid lung field,,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right mid lung fissure,right mid lung,fissure,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right mid lung laterally,right mid lung,laterally,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right mid lung near the chest tube,right mid lung,near the chest tube,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right mid lung zone,right mid lung zone,,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right mid mediastinum,right mid mediastinum,,,Bone structure of thorax,,,
right mid thoracic,right mid thoracic,,,Right lung,Right lung,Lungs,Respiratory System
right mid to lower lung,right lung,mid to lower,,Lung,Right lung,Lungs,Respiratory System
right mid to lower lung field,right lung field,mid to lower,,Right lung,Right lung,Lungs,Respiratory System
right mid to upper lung,right lung,mid to upper,,Lung,Right lung,Lungs,Respiratory System
right mid upper and left upper lungs,"right mid upper lung, left upper lung",,,,,,
right mid zone,right mid,,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right mid-lung,right mid-lung,,,Right lung,Right lung,Lungs,Respiratory System
right mid-to-lower lateral lung,right lateral lung,mid-to-lower,,Right lung,Right lung,Lungs,Respiratory System
right mid-to-lower lung,right lung,mid-to-lower,,Lung,Right lung,Lungs,Respiratory System
right mid/lower,"right mid, right lower",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right mid/lower lung,"right mid lung, right lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right middle and lower,"right middle, right lower",,,Structure of middle lobe of lung && Structure of lower lobe of lung,Right lung lobe,Lungs,Respiratory System
right middle and lower lobe,"right middle lobe, right lower lobe",,,Structure of middle lobe of lung && Structure of lower lobe of lung,Right lung lobe,Lungs,Respiratory System
right middle and lower lobes,"right middle lobe, right lower lobe",,,Structure of middle lobe of lung && Structure of lower lobe of lung,Right lung lobe,Lungs,Respiratory System
right middle and lower lung,"right middle lung, right lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right middle and lower lung zones,"right middle lung, right lower lung",,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right middle basal,right middle,basal,,Middle zone of lung (C0559287),,,
right middle base,right middle,base,,Middle zone of lung (C0559287),Right lung lobe,Lungs,Respiratory System
right middle lobe,right middle lobe,,,Structure of middle lobe of lung,Right lung lobe,Lungs,Respiratory System
right middle lobe apex,right middle lobe,apex,,Structure of middle lobe of lung,Right lung lobe,Lungs,Respiratory System
right middle lobe base,right middle lobe,base,,Structure of middle lobe of lung,Right lung lobe,Lungs,Respiratory System
right middle lobe nodule,right middle lobe,,,Structure of middle lobe of lung,Right lung lobe,Lungs,Respiratory System
right middle lung,right middle lung,,,Middle zone of lung (C0559287),,,
right midlung,right midlung,,,Fissure of lung,,,
right minor fissure,right minor fissure,,,Minor fissure,Fissure of lung,Lung,Respiratory System
right ninth posterior rib,right rib,ninth posterior,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right of midline,right of midline,,,-,,,
right of the midline,right of the midline,,,-,,,
right parahilar,right parahilar,,,Paramediastinal lung,Right lung,Lungs,Respiratory System
right paramedian lungs,right paramedian lungs,,,Right paramediastinal lung,,,
right paramediastinal,right paramediastinal,,,Right paramediastinal lung && Hilar,,,
right paramediastinal and hilar regions,"right paramediastinal, right hilar",,,Paramediastinal lung,Right lung,Lungs,Respiratory System
right paramediastinal lung,right paramediastinal lung,,,Paramediastinal lung,Right lung,Lungs,Respiratory System
right paramediastinal region,right paramediastinal region,,,Right paramediastinal lung,,,
right paratracheal,right paratracheal,,,Right paramediastinal lung,,,
right paratracheal region,right paratracheal region,,,Paratracheal,,,
right paratracheal stripe,right paratracheal stripe,,,Paratracheal,,,
right pectoral,right pectoral,,,Paratracheal region (C0929179),,,
right perihilar,right perihilar,,,Right pectoral part of chest,,,
right perihilar and infrahilar regions,"right perihilar, infrahilar",,,Structure of perihilar region of lung,,,
right perihilar areas,right perihilar areas,,,Structure of perihilar region of lung && Hilar,,,
right perihilar region,right perihilar region,,,Structure of perihilar region of lung,,,
right peripheral mid lung,right mid lung,peripheral,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right pigtail catheter,,,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right pleural,right pleural,,,,,,
right pleural cavity,right pleural cavity,,,Pleura,Pleural,Pleural,Respiratory System
right pleural space,right pleural space,,,Pleural cavity,Pleural,Pleural,Respiratory System
right pleural tube,,,,Right pleural cavity,Pleural,Pleural,Respiratory System
right port,,,,,,,
right posterior,right posterior,,,,,,
right posterior chest wall,right posterior chest wall,,,Chest wall structure,Chest,,
right posterior eighth rib,right rib,posterior eighth,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right posterior lower ribs,right posterior lower ribs,,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right posterior rib,right rib,posterior,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right posterior ribs,right ribs,posterior,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right posterior seventh rib,right rib,posterior seventh,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right posterior sixth rib,right rib,posterior sixth,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right proximal humerus,right proximal humerus,,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right pulmonary artery,right pulmonary artery,,,Right pulmonary artery,,,
right pulmonary hilum,right pulmonary hilum,,,Pulmonary artery structure,,,
right pulmonary system,right pulmonary system,,,Hilar,Right hilar,Lung region,Respiratory System
right residual lung,right residual lung,,,Lung,Lungs,Lungs,Respiratory System
right retrocardiac,right retrocardiac,,,Right lung,Right lung,Lungs,Respiratory System
right rib,right rib,,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right rib cage,right rib cage,,,Rib Cage,Right rib,Ribs,Musculoskeletal System
right scapula,right scapula,,,Rib Cage,Right rib,Ribs,Musculoskeletal System
right scapular,right scapular,,,Right scapula,,,
right second anterior rib,right rib,second anterior,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right shoulder,right shoulder,,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right shoulder area,right shoulder area,,,Shoulder,Right shoulder,Shoulder,Adjacent Structures
right shoulder joint,right shoulder joint,,,Shoulder,Right shoulder,Shoulder,Adjacent Structures
right side,right side,,,Right,,,
right side at the level of t4-t5,right vertebrae,t4-t5,,-,,,
right side in the seventh and eighth ribs,right rib,seventh,eighth,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right sided,right sided,,,Right,,,
right sixth and seventh posterior rib interspace,right rib interspace,sixth posterior,seventh posterior,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right sixth rib,right rib,sixth,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
right subclavian,right subclavian,,,right subclavian,Right rib,Ribs,Musculoskeletal System
right subclavian and brachiocephalic vein,"right subclavian, brachiocephalic vein",,,right subclavian,,,
right subclavian and internal jugular vein confluence,right subclavian and internal jugular vein confluence,,,right subclavian && Structure of brachiocephalic vein,,,
right subclavian area,right subclavian,,,right subclavian,,,
right subclavian internal jugular system,"right subclavian, internal jugular",,,right subclavian,,,
right subclavian vein,right subclavian vein,,,,,,
right subpulmonic,right subpulmonic,,,Structure of right subclavian vein,,,
right supraclavicular,right supraclavicular,,,-,,,
right supraclavicular region in the,right supraclavicular region,,,region supraclavicular,,,
right suprahilar,right suprahilar,,,region supraclavicular,,,
right suprahilar region,right suprahilar region,,,-,,,
right thoracic cavity,right thoracic cavity,,,-,,,
right thoracotomy,,,,Thoracic cavity structure,,,
right tracheobronchial angle,tracheobronchial angle,right,,,,,
right tracheobronchial angulation,tracheobronchial angulation,right,,Tracheobronchial angle,Tracheobronchial structure,Airways,Respiratory System
right transsubclavian,,,,Tracheobronchial angle,Tracheobronchial structure,Airways,Respiratory System
right upper,right upper,,,Upper zone of lung,Lungs,Lungs,Respiratory System
right upper abdomen,right upper abdomen,,,Structure of upper lobe of lung,,,
right upper abdominal quadrant,right upper abdominal quadrant,,,Structure of right upper quadrant of abdomen,Substructure,Abdomen,Abdominal Structures
right upper and left lower lobes,"right upper lobe, left lower lobe",,,Structure of right upper quadrant of abdomen,Substructure,Abdomen,Abdominal Structures
right upper and lower lobe,"right upper lobe, right lower lobe",,,Structure of upper lobe of lung && Structure of lower lobe of lung,Right lung lobe,Lungs,Respiratory System
right upper and lower lobes,"right upper lobe, right lower lobe",,,Structure of upper lobe of lung && Structure of lower lobe of lung,Right lung lobe,Lungs,Respiratory System
right upper and lower lobes bilaterally,"right upper lobe, lower lobes bilaterally",,,Structure of upper lobe of lung && Structure of lower lobe of lung,Right lung lobe,Lungs,Respiratory System
right upper and mid lungs,"right upper lung, right mid lung",,,Middle zone of lung (C0559287) && Upper zone of lung (C0559286),Right lung,Lungs,Respiratory System
right upper and middle lobe,"right upper lobe, right middle lobe",,,Upper zone of lung (C0559286) && Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right upper anterior,right upper,anterior,,Upper zone of lung,Lungs,Lungs,Respiratory System
right upper arm,right upper arm,,,Structure of upper lobe of lung,,,
right upper chest,right upper chest,,,Right upper arm structure,,,
right upper chest wall,right upper chest wall,,,Chest wall structure,Chest,,
right upper extremity,right upper extremity,,,Chest wall structure,,,
right upper hemithorax,right hemithorax,upper,,Hemithoracic structure,Right hemithorax,Hemithorax,Thoracic Structures
right upper hemithorax laterally,right hemithorax,upper laterally,,Hemithoracic structure,Right hemithorax,Hemithorax,Thoracic Structures
right upper lateral chest wall,right lateral chest wall,upper,,Right lateral chest wall (C0818149),Chest,,
right upper lobe,right upper lobe,,,Structure of upper lobe of lung,Right lung lobe,Lungs,
right upper lobe bases,right upper lobe,bases,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
right upper lobe medial,right upper lobe,medial,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
right upper lobe perihilar,right upper lobe,perihilar,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
right upper lobe posterior segment,right upper lobe,posterior segment,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
right upper lobe/suprahilar,"right upper lobe, suprahilar",,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
right upper lung,right upper lung,,,Upper zone of lung (C0559286),Right lung,Lungs,Respiratory System
right upper lung field,right upper lung field,,,Upper zone of lung (C0559286),Right lung,Lungs,Respiratory System
right upper lung region,right upper lung region,,,Upper zone of lung (C0559286),Right lung,Lungs,Respiratory System
right upper lung zone,right upper lung zone,,,Upper zone of lung (C0559286),Right lung,Lungs,Respiratory System
right upper mediastinal contour,right upper mediastinal contour,,,Upper zone of lung (C0559286),Right lung,Lungs,Respiratory System
right upper mediastinum,right upper mediastinum,,,Mediastinum,,,
right upper quadrant,right upper quadrant,,,Mediastinum,,,
right upper quadrant of the abdomen,right upper quadrant of the abdomen,,,Structure of right upper quadrant of abdomen,,,
right upper rib cage,right rib cage,upper,,Rib Cage,Right rib,Ribs,Musculoskeletal System
right upper svc,right svc,upper,,Rib Cage,Right rib,Ribs,Musculoskeletal System
right upper zone,right upper zone,,,Right superior vena cava structure,,,
right ventricle,right ventricle,,,Right ventricular structure,,,
right ventricle outflow tract,right ventricle outflow tract,,,Right ventricular structure,,,
right ventricles,right ventricles,,,Right ventricular structure,,,
right ventricular,right ventricular,,,Right ventricular structure,,,
right ventricular apex,right ventricular,apex,,Right ventricular structure,,,
right ventricular apical portion,right ventricular apical portion,,,Right ventricular structure,,,
right ventricular outflow tract,right ventricular outflow tract,,,Right ventricular structure,,,
right-mid lung,right-mid lung,,,Structure of outflow tract of right ventricle (C0225892),,,
right-sided,right-sided,,,Middle zone of lung (C0559287),Right lung,Lungs,Respiratory System
right-sided basilar,right-sided basilar,,,-,,,
right-sided diaphragmatic contour and pleural sinus,"right diaphragmatic contour, right pleural sinus",,,Basal segment of lung (C0225704),,,
right-sided internal jugular,right internal jugular,,,Right internal jugular vein,,,
right-sided lung,right-sided lung,,,Right internal jugular vein,,,
right-sided mediastinal structures,right-sided mediastinal structures,,,Right lung,Right lung,Lungs,Respiratory System
right-sided mid and lower lung,"right-sided mid lung, right-sided lower lung",,,Mediastinum,,,
right-sided pleural sinus,right-sided pleural sinus,,,Middle zone of lung (C0559287) && Lower zone of lung (C0559288),Right lung,Lungs,Respiratory System
right-sided subclavian,right subclavian,,,right subclavian,Pleural,Pleural,Respiratory System
rightward,rightward,,,right subclavian,,,
rightward upper,rightward upper,,,-,,,
scalp,,,,Structure of upper lobe of lung,,,
second and third left ribs,left ribs,second,third,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
second and third rib,rib,second,third,Bone structure of rib,Ribs,Ribs,Musculoskeletal System
second most superior,superior,second most,,superior,,,
second portion of the duodenum,duodenum,second,,Duodenum,,,
second rib on the left,left rib,second,,Bone structure of rib,Left Ribs,Ribs,Musculoskeletal System
second sternotomy wire,,,,Bone structure of rib,Left rib,Ribs,Musculoskeletal System
semi-upright,,,,,,,
several right lower thoracic ribs,several right thoracic ribs,lower,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
several right-sided lower thoracic ribs,several right-sided thoracic ribs,lower,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
shoulder,shoulder,,,Shoulder,Shoulder,Shoulder,Musculoskeletal System
shoulder area,shoulder,,,Shoulder,Shoulder,Shoulder,Musculoskeletal System
shoulder blades,shoulder blades,,,Shoulder,Shoulder,Shoulder,Adjacent Structures
shoulders,shoulders,,,Shoulder,Shoulder,Shoulder,Adjacent Structures
shoulders bilaterally,shoulders bilaterally,,,Shoulder,Bilateral shoulder,Shoulder,Adjacent Structures
sixth through tenth ribs,ribs,sixth through tenth,,Bone structure of rib,Rib,Ribs,Musculoskeletal System
slightly proximal to the right subclavian vein,right subclavian vein,proximal,,Subclavian vessels,,,
soft tissue of the,soft tissues,,,soft tissue,,,
soft tissues,soft tissues,,,soft tissue,,,
soft tissues of the right lateral chest wall,soft tissues,right lateral chest wall,,soft tissue,,,
soft tissues on the left,left soft tissues,,,soft tissue,,,
spine,spine,,,Entire spine,spine,spine,Skeletal System
spleen,spleen,,,Spleen,,,
splenic,splenic,,,Structure of splenic artery,,,
splenic artery,splenic artery,,,Structure of splenic artery,,,
splenic flexure,splenic flexure,,,Structure of splenic artery,,,
sternal,sternal,,,Sternum,Sternum,Sternum,Musculoskeletal System
sternal notch,sternal notch,,,Sternum,Sternum,Sternum,Musculoskeletal System
sternum,sternum,,,Sternum,Sternum,Sternum,Musculoskeletal System
stomach,stomach,,,Stomach structure,Stomach,Stomach,Abdominal Structures
stomach bodies,stomach bodies,,,Body of stomach (C0227230),Stomach,Stomach,Abdominal Structures
stomach proximally,stomach,proximally,,Stomach structure,Stomach,Stomach,Abdominal Structures
subclavian,subclavian,,,Clavicular region (C0230077),,,
subdiaphragmatic,subdiaphragmatic,,,Subdiaphragmatic region,,,
subpulmonic,subpulmonic,,,-,,,
subpulmonic right,right subpulmonic,,,Structure of right subclavian vein,,,
substernal,substernal,,,Sternum,,,
superior,superior,,,superior,,,
superior aspect,superior,,,superior,,,
superior aspect of the right lower lung,right lower lung,superior,,Right lower lung zone (C0929214),Right lung,Lungs,Respiratory System
superior cavoatrial junction,cavoatrial junction,superior,,cavoatrial junction,,,
superior mediastinum,mediastinum,superior,,Mediastinum,,,
superior mid svc,svc,superior mid,,Superior vena cava structure,,,
superior portion of the apices,apices,superior,,Apical zone of lung,Lung,Lungs,Respiratory System
superior portions,superior,,,superior,,,
superior portions of the bilateral lower lobes,bilateral lower lobes,superior,,Structure of lower lobe of lung,Bilateral lobe,,Respiratory System
superior posterior,superior,posterior,,superior,,,
superior right atrium,right atrium,superior,,Right atrial structure,,,
superior right lower lobe,right lower lobe,superior,,Structure of lower lobe of lung,Right lung lobe,,Respiratory System
superior right lower lobes,right lower lobes,superior,,Structure of lower lobe of lung,Right lung lobe,,Respiratory System
superior segment left lower lobe,left lower lobe,superior,,Structure of lower lobe of lung (C1261077),Left lung lobe,Lungs,Respiratory System
superior segment of the left lower lobe,left lower lobe,superior,,Structure of lower lobe of lung (C1261077),Left lung lobe,Lungs,Respiratory System
superior svc,svc,superior,,Superior vena cava structure,,,
superior to the hila bilaterally,superior to the hila bilaterally,,,suprahilar,Hilar,Lung region,Respiratory System
superior trachea,trachea,superior,,Trachea,Trachea,Airways,Respiratory System
superior vena cava,superior vena cava,,,Superior vena cava structure,,,
superiorly,superiorly,,,superior,,,
superolateral to left major fissure,left major fissure,superolateral,,Major fissure (C0929208),Fissure of lung,Lung,Respiratory System
supraclavicular level on the left,left supraclavicular,,,region supraclavicular,,,
suprahilar on the right,right suprahilar,,,region supraclavicular,,,
surrounding the skeletal structures of the thorax,skeletal structures of the thorax,surrounding,,Bone structure of thorax,,,
svc,svc,,,Superior vena cava structure,,,
svc mid portion,svc,mid,,Superior vena cava structure,,,
svc-right atrium junction,svc-right atrium junction,,,Superior vena cava structure && Right atrial structure && Anatomical junction,,,
svc/right atrium junction,svc/right atrium junction,,,Superior vena cava structure && Right atrial structure && Anatomical junction,,,
t1,vertebrae,t1,,Body of vertebra,,,
t10 and t11,vertebrae,t10 and t11,,Body of vertebra,,,
t10 vertebral bodies,vertebrae,t10,,Body of vertebra,,,
t11,vertebrae,t11,,Body of vertebra,,,
t12,vertebrae,t12,,Body of vertebra,,,
t12 vertebrae,vertebrae,t12,,Body of vertebra,,,
t6,vertebrae,t6,,Body of vertebra,,,
t6 vertebral bodies,vertebrae,t6,,Body of vertebra,,,
t7,vertebrae,t7,,Body of vertebra,,,
t8 vertebral bodies,vertebrae,t8,,Body of vertebra,,,
t9 vertebral bodies,vertebrae,t9,,Body of vertebra,,,
tenth left posterior rib level,left posterior rib,tenth,,Bone structure of rib,Left rib,Ribs,Musculoskeletal System
the gastroesophageal junction,gastroesophageal junction,,,gastroesophageal,,,
the level of the gastroesophageal junction,gastroesophageal junction,,,gastroesophageal,,,
the lung parenchyma,lung parenchyma,,,Structure of parenchyma of lung (C0819757),Lung,Lungs,Respiratory System
the lungs,lungs,,,Lung,Lung,Lungs,Respiratory System
the lungs bilaterally,lungs bilaterally,,,Lung,Bilateral lungs,Lungs,Respiratory System
the right ventricle,right ventricle,,,Right ventricular structure,,,
third anterior interspace,anterior interspace,third,,-,,,
third left anterior rib,left anterior rib,third,,Bone structure of rib,Left rib,Ribs,Musculoskeletal System
third right intercostal space,right intercostal space,third,,Structure of intercostal space,,,
thoracic,thoracic,,,Bone structure of thorax,,,
thoracic aorta,thoracic aorta,,,Thoracic aorta,,,
thoracic cavity,thoracic cavity,,,Thoracic cavity structure,,,
thoracic inlet,thoracic inlet,,,Structure of thoracic inlet,,,
thoracic inlet bilaterally,thoracic inlet bilaterally,,,Structure of thoracic inlet,,,
thoracic spine,thoracic spine,,,Thoracic spine structure,Thoracic spine,spine,Skeletal System
thoracic vertebral bodies,thoracic vertebral bodies,,,Structure of body of thoracic vertebra,,,
thoracoabdominal region,thoracoabdominal,,,Abdomen,,,
thoracoabdominal wall and,thoracoabdominal wall,,,,,,
thoracolumbar junction,thoracolumbar junction,,,Thoracolumbar vertebral column,,,
thoracolumbar spine,thoracolumbar spine,,,Thoracolumbar vertebral column,Thoracolumbar spine,spine,Skeletal System
thorax,thorax,,,Bone structure of thorax,,,
throat,throat,,,Throat,,,
tip over distal svc,svc,distal,,Superior vena cava structure,,,
to the left,left,,,-,,,
to the right,right,,,Right,,,
to the right side,right side,,,Right,,,
torso,,,,,,,
towards the right,right,towards,,Right,,,
trach,trach,,,Trachea,Trachea,Airways,Respiratory System
trachea,trachea,,,Trachea,Trachea,Airways,Respiratory System
track of the right pleural tube,,,,,,,
transverse colon,transverse colon,,,Colon structure (body structure),,,
two lower thoracic vertebral bodies,thoracic vertebral bodies,lower,,Structure of body of thoracic vertebra,,,
two uppermost mediastinal wires,,,,,,,
under the diaphragm,diaphragm,under,,Entire diaphragm,Diaphragm,Diaphragm,Abdominal Structures
under the diaphragms,diaphragms,under,,Entire diaphragm,Diaphragm,Diaphragm,Abdominal Structures
under the hemidiaphragms,hemidiaphragms,under,,Structure of hemidiaphragm,Hemidiaphragm,Diaphragm,Abdominal Structures
under the right hemidiaphragm,right hemidiaphragm,under,,Right hemidiaphragm,Right hemidiaphragm,Diaphragm,Abdominal Structures
underlying lung,lung,,,Lung,Lung,Lungs,Respiratory System
upper,upper,,,-,,,
upper abdomen,upper abdomen,,,Upper abdomen structure (C2937240),Abdomen,Abdomen,Abdominal Structures
upper abdomen in the midline,upper abdomen,midline,,Upper abdomen structure (C2937240),Abdomen,Abdomen,Abdominal Structures
upper abdomen near the gastroesophageal junction,upper abdomen,near gastroesophageal junction,,Upper abdomen structure (C2937240),Abdomen,Abdomen,Abdominal Structures
upper abdominal,upper abdominal,,,Upper abdomen structure (C2937240),Abdomen,Abdomen,Abdominal Structures
upper airway,airway,upper,,Airway structure,,,
upper and lower hilus,"upper hilus, lower hilus",,,Hilum C0929176,Hilar,Lung region,Respiratory System
upper aspect of the abdomen,upper aspect of the abdomen,,,Upper abdomen structure (C2937240),Abdomen,Abdomen,Abdominal Structures
upper cardiac silhouette to the right of the spine,upper cardiac silhouette,to the right of the spine,,Cardiac border && Entire spine,,,
upper chest,chest,upper,,Chest,,,
upper chest border on the left,left upper chest border,,,Chest && Anatomic Border (C1522411),,,
upper esophagus,esophagus,upper,,Esophagus,,,
upper hemithorax,hemithorax,upper,,Hemithoracic structure,Hemithoracic structure,Hemithorax,Thoracic Structures
upper hemithorax bilaterally,hemithorax bilaterally,upper,,Hemithoracic structure,Hemithoracic structure,Hemithorax,Thoracic Structures
upper left abdominal quadrant,upper left abdominal quadrant,,,Structure of left upper quadrant of abdomen (C0230179),Substructure,Abdomen,Abdominal Structures
upper left lung medially,upper left lung,medially,,Upper zone of lung (C0559286),Left lung,Lungs,Respiratory System
upper lobe,upper lobe,,,Structure of upper lobe of lung,Lung lobe,Lungs,Respiratory System
upper lobe and lower lobe bilaterally,"upper lobe bilaterally, lower lobe bilaterally",,,Structure of upper lobe of lung && lower lobe,Bilateral lobe,Lungs,Respiratory System
upper lobes,upper lobes,,,Structure of upper lobe of lung,Lung lobe,Lungs,Respiratory System
upper lobes bilaterally,upper lobes bilaterally,,,Structure of upper lobe of lung,Bilateral lobe,Lungs,Respiratory System
upper lumbar,lumbar,upper,,Lumbar Region,,,
upper lumbar spine,lumbar spine,upper,,Lumbar spine structure,Lumbar spine,spine,Skeletal System
upper lumbar vertebral bodies,lumbar vertebral bodies,upper,,Structure of body of lumbar vertebra,,,
upper lung,upper lung,,,Upper zone of lung (C0559286),Lung,Lungs,Respiratory System
upper lung fields bilaterally,upper lung fields bilaterally,,,Upper zone of lung (C0559286),Bilateral lungs,Lungs,Respiratory System
upper lungs,upper lungs,,,Upper zone of lung (C0559286),Lung,Lungs,Respiratory System
upper lungs bilaterally,upper lungs bilaterally,,,Upper zone of lung (C0559286),Bilateral lungs,Lungs,Respiratory System
upper margin of the clavicles,clavicles,upper margin,,Bone structure of clavicle,Clavicles,Clavicles,Musculoskeletal System
upper margin of the left bronchus and the apex of the aortic knob,"left bronchus, aorta knob",upper margin,apex,Structure of left bronchus (C4521596) && aortic knob,,,
upper margin of the right lung,right lung,upper margin,,Lung,Right lung,Lungs,Respiratory System
upper medial left aspects of the mediastinum,left upper mediastinum,medial,,Mediastinum,,,
upper mediastinal,upper mediastinal,,,Mediastinum,,,
upper mediastinal silhouette,mediastinal silhouette,upper,,Mediastinum,,,
upper mediastinum,mediastinum,upper,,Mediastinum,,,
upper mid thoracic vertebral bodies,thoracic vertebral bodies,upper,mid,Structure of body of thoracic vertebra,,,
upper portion of a non-distended stomach,stomach,upper,,Stomach structure,Stomach,Stomach,Abdominal Structures
upper portion of the abdomen,upper portion of the abdomen,,,Upper abdomen structure (C2937240),Abdomen,Abdomen,Abdominal Structures
upper portion of the esophagus,esophagus,upper,,Esophagus,,,
upper portion of the right atrium,right atrium,upper,,Right atrial structure,,,
upper portion of the svc,svc,upper,,Superior vena cava structure,,,
upper quadrant,upper quadrant,,,Structure of upper abdominal quadrant,,,
upper respiratory airway,upper airway,,,Airway structure,,,
upper right,upper right,,,-,,,
upper right abdomen,upper right abdomen,,,Structure of right upper quadrant of abdomen,Substructure,Abdomen,Abdominal Structures
upper right atrium,upper right atrium,,,Right atrial structure,,,
upper right mediastinum,upper right mediastinum,,,Mediastinum,,,
upper right thorax,upper right thorax,,,Bone structure of thorax,,,
upper stomach,upper stomach,,,Stomach structure,Stomach,Stomach,Abdominal Structures
upper superior vena cava,superior vena cava,upper,,Superior vena cava structure,,,
upper svc,svc,upper,,Superior vena cava structure,,,
upper third of the right atrium,upper right atrium,third,,Right atrial structure,,,
upper thoracic,upper thoracic,,,Bone structure of thorax,,,
upper thoracic spine,upper thoracic spine,,,Thoracic spine structure,Thoracic spine,spine,Skeletal System
upper thorax,upper thorax,,,Bone structure of thorax,,,
upper to mid bodies of the stomach,bodies of the stomach,upper to mid,,Body of stomach (C0227230),Stomach,Stomach,Abdominal Structures
upper to mid portion of the svc,svc,upper to mid,,Superior vena cava structure,,,
upper to mid svc,svc,upper to mid,,Superior vena cava structure,,,
upper trachea,trachea,upper,,Trachea,Trachea,Airways,Respiratory System
upper zone,upper,,,-,,,
upper zone laterally,upper zone laterally,,,-,,,
upper zones,upper,,,-,,,
upper-mid svc,svc,upper-mid,,Superior vena cava structure,,,
upper-to-mid svc,svc,upper-to-mid,,Superior vena cava structure,,,
ureter,ureter,,,Ureter,,,
ventricle,ventricle,,,Heart Ventricle,,,
vertebra at the thoracolumbar junction,vertebra at the thoracolumbar junction,,,Thoracolumbar vertebral column,,,
vertebral bodies thoracolumbar spine,vertebral bodies thoracolumbar spine,,,Thoracolumbar vertebral column,Thoracolumbar spine,spine,Skeletal System
within the cardiac shadow,cardiac,within,,Heart,,,
