raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
open abd,open abd,open abdomen,,,OTH
open abdomen,open abdomen,open abdomen,,,OTH
open heart surgery,open heart surgery,open heart surgery,,,OTH
open right colectomy,open right colectomy,open right colectomy,,,OTH
orif,orif,open reduction internal fixation,,,OTH
orogastric feeding tube,orogastric feeding tube,orogastric feeding tube,,,OTH
orogastric tube,orogastric tube,orogastric tube,,,OTH
orogastric tube placement,orogastric tube,orogastric tube,,,OTH
orogastric tube tip,orogastric tube tip,orogastric tube tip,,,OTH
orogastric-type tube,orogastric-type tube,orogastric-type tube,,,OTH
ortho hardware,ortho hardware,orthopedic hardware,,,OTH
orthopedic hardware,orthopedic hardware,orthopedic hardware,,,OTH
orthopedic screws,orthopedic screws,orthopedic screw,,,OTH
orthopedic side plate,orthopedic side plate,orthopedic side plate,,,OTH
orthopedic stabilization plate,orthopedic stabilization plate,orthopedic stabilization plate,,,OTH
orthotopic liver transplant,orthotopic liver transplant,orthotopic liver transplant,,,OTH
orthotopic liver transplantation,orthotopic liver transplantation,orthotopic liver transplantation,,,OTH
osteotomy,osteotomy,osteotomy,,,OTH
pa cath,pa cath,pulmonary artery catheter,,,OTH
pa catheter,pa catheter,pulmonary artery catheter,,,OTH
pa repair,pa repair,pulmonary artery repair,,,OTH
pacing device,pacing device,pace device,,,OTH
pacing hardware,pacing hardware,pace hardware,,,OTH
pacing leads,pacing leads,pace lead,,,OTH
pacing wires,pacing wires,pace wire,,,OTH
pacemaker,pacemaker,pacemaker,,,OTH
pacemaker and pacer wires,pacemaker and pacer wires,pacemaker and pacer wire,,,OTH
pacemaker defibrillator,pacemaker defibrillator,pacemaker defibrillator,,,OTH
pacemaker defibrillator leads,pacemaker defibrillator leads,pacemaker defibrillator lead,,,OTH
pacemaker defibrillator lead,pacemaker defibrillator lead,pacemaker defibrillator lead,,,OTH
pacemaker device,pacemaker device,pacemaker device,,,OTH
pacemaker generator,pacemaker generator,pacemaker generator,,,OTH
pacemaker implant,pacemaker implant,pacemaker implant,,,OTH
pacemaker leads,pacemaker leads,pacemaker lead,,,OTH
pacemaker lead,pacemaker lead,pacemaker lead,,,OTH
pacemaker lead tip,pacemaker lead tip,pacemaker lead tip,,,OTH
pacemaker placement,pacemaker,pacemaker,,,OTH
pacemaker position,pacemaker,pacemaker,,,OTH
pacemaker wires,pacemaker wires,pacemaker wire,,,OTH
pacemaker-type device,pacemaker-type device,pacemaker-type device,,,OTH
pacemaker/aicd device,pacemaker/aicd device,pacemaker/aicd device,,,OTH
pacemaker/icd device,pacemaker/icd device,pacemaker/icd device,,,OTH
pacer,pacer,pacer,,,OTH
pacer defibrillator,pacer defibrillator,pacer defibrillator,,,OTH
pacer defibrillator leads,pacer defibrillator leads,pacer defibrillator lead,,,OTH
pacer defibrillator unit,pacer defibrillator unit,pacer defibrillator unit,,,OTH
pacer device,pacer device,pacer device,,,OTH
pacer device lead tips,pacer device lead tips,pacer device lead tip,,,OTH
pacer lead,pacer lead,pacer lead,,,OTH
pacer leads,pacer leads,pacer lead,,,OTH
pacer lead position,pacer lead,pacer lead,,,OTH
pacer lead tip,pacer lead tip,pacer lead tip,,,OTH
pacer pack,pacer pack,pacer pack,,,OTH
pacer placement,pacer,pacer,,,OTH
pacer unit leads,pacer unit leads,pacer unit lead,,,OTH
pacer wires,pacer wires,pacer wire,,,OTH
pacer-defibrillator,pacer-defibrillator,pacer-defibrillator,,,OTH
pacer/aicd,pacer/aicd,pacer/aicd,,,OTH
pacer/defibrillator unit,pacer/defibrillator unit,pacer/defibrillator unit,,,OTH
pain medications,pain medications,pain medication,,,OTH
pancreas transplant,pancreas transplant,pancreas transplant,,,OTH
pancreatic transplant,pancreatic transplant,pancreatic transplant,,,OTH
pancreatic/renal transplant,pancreatic/renal transplant,pancreatic/renal transplant,,,OTH
paracentesis,paracentesis,paracentesis,,,OTH
paramedian drains,paramedian drains,paramedian drain,,,OTH
partial resection,partial resection,partial resection,,,OTH
pci,pci,percutaneous coronary intervention,,,OTH
pcis,pcis,percutaneous coronary intervention,,,OTH
pcp prophylaxis,pcp prophylaxis,Pneumocystis Pneumonia Prophylaxis,,,OTH
pectoral flap,pectoral flap,pectoral flap,,,OTH
pectoral flap surgery,pectoral flap surgery,pectoral flap surgery,,,OTH
pectoral pacemaker,pectoral pacemaker,pectoral pacemaker,,,OTH
pectoralis flaps,pectoralis flaps,pectoralis flaps,,,OTH
peg,peg,percutaneous endoscopic gastrostomy,,,OTH
peg device,peg device,percutaneous endoscopic gastrostomy device,,,OTH
peg placement,peg,percutaneous endoscopic gastrostomy tube,,,OTH
peg replacement,peg,percutaneous endoscopic gastrostomy tube,,,OTH
peg tube,peg tube,percutaneous endoscopic gastrostomy tube,,,OTH
percutaneous gastrostomy,percutaneous gastrostomy,percutaneous gastrostomy,,,OTH
percutaneous gastrostomy catheter,percutaneous gastrostomy catheter,percutaneous gastrostomy catheter,,,OTH
percutaneous gastrostomy tube,percutaneous gastrostomy tube,percutaneous gastrostomy tube,,,OTH
percutaneous nephrostomy,percutaneous nephrostomy,percutaneous nephrostomy,,,OTH
peribronchial biopsy,peribronchial biopsy,peribronchial biopsy,,,OTH
peripherally inserted central catheter,peripherally insert central catheter,peripherally insert central catheter,,,OTH
peripherally inserted central catheter exchange,peripherally insert central catheter,peripherally insert central catheter,,,OTH
peripherally inserted central catheter line,peripherally insert central catheter line,peripherally insert central catheter line,,,OTH
peripherally inserted central catheter lines,peripherally inserted central catheter lines,peripherally insert central catheter line,,,OTH
peripherally inserted central catheter line migrating,peripherally insert central catheter line,peripherally insert central catheter line,,,OTH
peripherally inserted central catheter line placement,peripherally insert central catheter line,peripherally insert central catheter line,,,OTH
peripherally inserted central catheter line positioning,peripherally insert central catheter line,peripherally insert central catheter line,,,OTH
peripherally inserted central catheter line tip,peripherally insert central catheter line tip,peripherally insert central catheter line tip,,,OTH
peripherally inserted central catheter line tubing,peripherally inserted central catheter line tubing,peripherally insert central catheter line tube,,,OTH
peripherally inserted central catheter placement,peripherally insert central catheter,peripherally insert central catheter,,,OTH
"peripherally inserted central catheter positioning, peripherally inserted central catheter position",peripherally insert central catheter,peripherally insert central catheter,,,OTH
peripherally inserted central catheter replacement,peripherally insert central catheter,peripherally insert central catheter,,,OTH
peripherally inserted central catheter tip,peripherally insert central catheter tip,peripherally insert central catheter tip,,,OTH
peritoneal dialysis,peritoneal dialysis,peritoneal dialysis,,,OTH
permanent pacer,permanent pacer,permanent pacer,,,OTH
permanent pacer capsule,permanent pacer capsule,permanent pacer capsule,,,OTH
permanent pacer electrodes,permanent pacer electrodes,permanent pacer electrode,,,OTH
permanent pacer with dual electrode system,permanent pacer with dual electrode system,permanent pacer with dual electrode system,,,OTH
pic catheter tip,pic catheter tip,peripherally inserted central catheter tip,,,OTH
pic line,pic line,peripherally insert catheter line,,,OTH
pic line tip,pic line tip,peripherally insert catheter line tip,,,OTH
piccl,piccl,peripherally insert central catheter line,,,OTH
pigtails,pigtails,pigtail,,,OTH
pigtail,pigtail,pigtail,,,OTH
pigtail catheter,pigtail catheter,pigtail catheter,,,OTH
pigtail catheters,pigtail catheters,pigtail catheter,,,OTH
pigtail catheter placement,pigtail catheter,pigtail catheter,,,OTH
pigtail catheter tip,pigtail catheter tip,pigtail catheter tip,,,OTH
pigtail drains,pigtail drains,pigtail drain,,,OTH
pigtail drain,pigtail drain,pigtail drain,,,OTH
pigtail drainage catheter,pigtail drainage catheter,pigtail drainage catheter,,,OTH
pigtail end catheter,pigtail end catheter,pigtail end catheter,,,OTH
pigtail end small caliber catheter,pigtail end small caliber catheter,pigtail end small caliber catheter,,,OTH
pigtail placement,pigtail,pigtail,,,OTH
pigtail pleural catheters,pigtail pleural catheters,pigtail pleural catheter,,,OTH
pigtail pleural catheter,pigtail pleural catheter,pigtail pleural catheter,,,OTH
pigtail pleural drain,pigtail pleural drain,pigtail pleural drain,,,OTH
pigtail type catheters,pigtail type catheters,pigtail type catheter,,,OTH
pigtail-end catheter,pigtail-end catheter,pigtail-end catheter,,,OTH
pituitary mass resection,pituitary mass resection,pituitary mass resection,,,OTH
pituitary resection,pituitary resection,pituitary resection,,,OTH
plasmapheresis,plasmapheresis,plasmapheresis,,,OTH
pleural catheters,pleural catheters,pleural catheter,,,OTH
pleural catheter,pleural catheter,pleural catheter,,,OTH
pleural catheter placement,pleural catheter,pleural catheter,,,OTH
pleural chest tube,pleural chest tube,pleural chest tube,,,OTH
pleural chest tubes,pleural chest tubes,pleural chest tube,,,OTH
pleural drain,pleural drain,pleural drain,,,OTH
pleural drains,pleural drains,pleural drain,,,OTH
pleural drain placement,pleural drain,pleural drain,,,OTH
pleural drainage catheter,pleural drainage catheter,pleural drainage catheter,,,OTH
pleural drainage chest tubes,pleural drainage chest tubes,pleural drainage chest tube,,,OTH
pleural drainage lines,pleural drainage lines,pleural drainage line,,,OTH
pleural pigtail catheters,pleural pigtail catheters,pleural pigtail catheter,,,OTH
pleural tube,pleural tube,pleural tube,,,OTH
pleural tubes,pleural tubes,pleural tube,,,OTH
pleural-based catheter,pleural-based catheter,pleural-based catheter,,,OTH
pleurodesis,pleurodesis,pleurodesis,,,OTH
pleurx,pleurx,pleurx,,,OTH
pleurx catheter,pleurx catheter,pleurx catheter,,,OTH
pleurx catheter line,pleurx catheter line,pleurx catheter line,,,OTH
pleurx catheter placement,pleurx catheter,pleurx catheter,,,OTH
pleurx placement,pleurx catheter,pleurx catheter,,,OTH
pneumonectomy,pneumonectomy,pneumonectomy,,,OTH
pneumonectomy procedure,pneumonectomy procedure,pneumonectomy procedure,,,OTH
port,port,port,,,OTH
port a cath tip,port a cath tip,port a cath tip,,,OTH
port catheter tip,port catheter tip,port catheter tip,,,OTH
port-a-cath,port-a-cath,port-a-cath,,,OTH
port-a-cath catheter,port-a-cath catheter,port-a-cath catheter,,,OTH
port-a-cath catheter tip,port-a-cath catheter tip,port-a-cath catheter tip,,,OTH
port-a-cath placement,port-a-cath placement,port-a-cath placement,,,OTH
port-a-cath reservoir,port-a-cath reservoir,port-a-cath reservoir,,,OTH
port-a-cath system,port-a-cath system,port-a-cath system,,,OTH
port-a-cath tip,port-a-cath tip,port-a-cath tip,,,OTH
port-a-cath type catheter,port-a-cath type catheter,port-a-cath type catheter,,,OTH
port-a-catheter,port-a-catheter,port-a-catheter,,,OTH
position of chest tubes,chest tubes,chest tube,,,OTH
position of monitoring and support devices,monitoring and support devices,monitoring and support devices,,,OTH
position of tip,tip,tip,,,OTH
post intubation,intubation,intubation,,,OTH
post-sternotomy wires,post-sternotomy wires,post-sternotomy wire,,,OTH
posterior chest wall reconstruction,posterior chest wall reconstruction,posterior chest wall reconstruction,,,OTH
posterior fixation hardware,posterior fixation hardware,posterior fixation hardware,,,OTH
posterior fusion,posterior fusion,posterior fusion,,,OTH
posterior fusion hardware,posterior fusion hardware,posterior fusion hardware,,,OTH
postoperative clips,postoperative clips,postoperative clip,,,OTH
postoperative devices,postoperative devices,postoperative devices,,,OTH
ppm,ppm,permanent pacemaker,,,OTH
pred,pred,prednisone,,,OTH
previous surgery,previous surgery,previous surgery,,,OTH
probe,probe,probe,,,OTH
prostate surgery,prostate surgery,prostate surgery,,,OTH
prostatic aortic valve,prosthetic aortic valve,prosthetic aortic valve,,,OTH
prosthetic aortic valve,prosthetic aortic valve,prosthetic aortic valve,,,OTH
prosthetic cardiac valves,prosthetic cardiac valves,prosthetic cardiac valve,,,OTH
prosthetic cardiac valve,prosthetic cardiac valve,prosthetic cardiac valve,,,OTH
prosthetic device,prosthetic device,prosthetic device,,,OTH
prosthetic heart valve,prosthetic heart valve,prosthetic heart valve,,,OTH
prosthetic mitral valve,prosthetic mitral valve,prosthetic mitral valve,,,OTH
prosthetic tricuspid valve,prosthetic tricuspid valve,prosthetic tricuspid valve,,,OTH
prosthetic valve,prosthetic valve,prosthetic valve,,,OTH
prosthetic valves,prosthetic valves,prosthetic valve,,,OTH
prosthetic valve placement,prosthetic valve,prosthetic valve,,,OTH
pulmonary arterial line,pulmonary arterial line,pulmonary arterial line,,,OTH
pulmonary artery catheter,pulmonary artery catheter,pulmonary artery catheter,,,OTH
r hemicolectomy,right hemicolectomy,right hemicolectomy,,,OTH
r internal jugular line placement,right internal jugular line,right internal jugular line,,,OTH
radiation,radiation,radiation,,,OTH
radiation therapy,radiation therapy,radiation therapy,,,OTH
radio-opaque metallic foreign object,radio-opaque metallic foreign object,radio-opaque metallic foreign object,,,OTH
radiopaque foreign body,radiopaque foreign body,radiopaque foreign body,,,OTH
radiopaque foreign bodies,radiopaque foreign bodies,radiopaque foreign body,,,OTH
radiopaque material,radiopaque material,radiopaque material,,,OTH
radiopaque metallic foreign object,radiopaque metallic foreign object,radiopaque metallic foreign object,,,OTH
radiopaque tip,radiopaque tip,radiopaque tip,,,OTH
rca stent,RCA stent,RCA stent,,,OTH
re intubation,re intubation,re-intubation,,,OTH
re-intubated,re-intubated,re-intubation,,,OTH
recent surgery,recent surgery,recent surgery,,,OTH
redo sternotomy,redo sternotomy,redo sternotomy,,,OTH
reintubated,reintubated,reintubated,,,OTH
reintubation,reintubation,reintubation,,,OTH
removal of enteric tube,enteric tube,enteric tube,,,OTH
renal allograft,renal allograft,renal allograft,,,OTH
renal transplant,renal transplant,renal transplantation,,,OTH
renal txp,renal txp,renal transplantation,,,OTH
repair of fistula,repair of fistula,repair of fistula,,,OTH
repair of pa,repair of pa,repair of pulmonary artery,,,OTH
repair of pulmonary artery,repair of pulmonary artery,repair of pulmonary artery,,,OTH
replaced aortic valve,replaced aortic valve,replaced aortic valve,,,OTH
replaced cardiac valves,replaced cardiac valves,replaced cardiac valves,,,OTH
replaced mitral valve,replaced mitral valve,replaced mitral valve,,,OTH
replaced tricuspid valve,replaced tricuspid valve,replaced tricuspid valve,,,OTH
replaced valves,replaced valves,replaced valve,,,OTH
replaced valve,replaced valve,replaced valve,,,OTH
repositioning of the right internal jugular catheter,right internal jugular catheter,right internal jugular catheter,,,OTH
resected ribs,resected rib,resected rib,,,OTH
resection,resection,resection,,,OTH
resection cavity,resection cavity,resection cavity,,,OTH
resuscitation,resuscitation,resuscitation,,,OTH
retraction of the left peripherally inserted central catheter,left peripherally insert central catheter,left peripherally insert central catheter,,,OTH
right aka,right aka,right above-knee amputation,,,OTH
right atrial and right ventricular leads,right atrial and right ventricular leads,right atrial and right ventricular lead,,,OTH
right atrial lead,right atrial lead,right atrial lead,,,OTH
right atrial pacing leads,right atrial pacing leads,right atrial pacing leads,,,OTH
right atrial pacer,right atrial pacer,right atrial pacer,,,OTH
right atrial pacer leads,right atrial pacer leads,right atrial pacer lead,,,OTH
right atrial transvenous pacer lead,right atrial transvenous pacer lead,right atrial transvenous pacer lead,,,OTH
right atrioventricular pacemaker,right atrioventricular pacemaker,right atrioventricular pacemaker,,,OTH
right atrium leads,right atrium leads,right atrium lead,,,OTH
right brachiocephalic vein stent,right brachiocephalic vein stent,right brachiocephalic vein stent,,,OTH
right brachiocephalic venous stent,right brachiocephalic venous stent,right brachiocephalic venous stent,,,OTH
right central catheter,right central catheter,right central catheter,,,OTH
right central hemodialysis catheter,right central hemodialysis catheter,right central hemodialysis catheter,,,OTH
right central line,right central line,right central line,,,OTH
right chest port,right chest port,right chest port,,,OTH
right chest tube,right chest tube,right chest tube,,,OTH
right chest tube thoracotomy,right chest tube thoracotomy,right chest tube thoracotomy,,,OTH
right cordis,right cordis,right cordis,,,OTH
right craniotomy,right craniotomy,right craniotomy,,,OTH
right dialysis catheter,right dialysis catheter,right dialysis catheter,,,OTH
right double-lumen catheter,right double-lumen catheter,right double-lumen catheter,,,OTH
right hemodialysis catheter,right hemodialysis catheter,right hemodialysis catheter,,,OTH
right internal central venous line,right internal central venous line,right internal central venous line,,,OTH
right internal jugular,right internal jugular,right internal jugular,,,LF
right internal jugular approach double-lumen catheter,right internal jugular approach double-lumen catheter,right internal jugular approach double-lumen catheter,,,OTH
right internal jugular approach sheath,right internal jugular approach sheath,right internal jugular approach sheath,,,OTH
right internal jugular catheter,right internal jugular catheter,right internal jugular catheter,,,OTH
right internal jugular catheter tip,right internal jugular catheter tip,right internal jugular catheter tip,,,OTH
right internal jugular central catheter,right internal jugular central catheter,right internal jugular central catheter,,,OTH
right internal jugular central line,right internal jugular central line,right internal jugular central line,,,OTH
right internal jugular central line placement,right internal jugular central line placement,right internal jugular central line placement,,,OTH
right internal jugular central line tip,right internal jugular central line tip,right internal jugular central line tip,,,OTH
right internal jugular central venous catheter,right internal jugular central venous catheter,right internal jugular central venous catheter,,,OTH
right internal jugular central venous catheter tip,right internal jugular central venous catheter tip,right internal jugular central venous catheter tip,,,OTH
right internal jugular central venous line,right internal jugular central venous line,right internal jugular central venous line,,,OTH
right internal jugular cordis tip,right internal jugular cordis tip,right internal jugular cordis tip,,,OTH
right internal jugular cvl,right internal jugular cvl,right internal jugular cvl,,,OTH
right internal jugular dialysis catheter,right internal jugular dialysis catheter,right internal jugular dialysis catheter,,,OTH
right internal jugular dialysis catheter position,right internal jugular dialysis catheter,right internal jugular dialysis catheter,,,OTH
right internal jugular dual-lumen catheter,right internal jugular dual-lumen catheter,right internal jugular dual-lumen catheter,,,OTH
right internal jugular dual-lumen large-bore catheter,right internal jugular dual-lumen large-bore catheter,right internal jugular dual-lumen large-bore catheter,,,OTH
right internal jugular line,right internal jugular line,right internal jugular line,,,OTH
right internal jugular line tip,right internal jugular line tip,right internal jugular line tip,,,OTH
right internal jugular placement,right internal jugular placement,right internal jugular placement,,,OTH
right internal jugular port-a-cath,right internal jugular port-a-cath,right internal jugular port-a-cath,,,OTH
right internal jugular sheath,right internal jugular sheath,right internal jugular sheath,,,OTH
right internal jugular sheath position,right internal jugular sheath,right internal jugular sheath,,,OTH
right internal jugular vein catheter,right internal jugular vein catheter,right internal jugular vein catheter,,,OTH
right internal jugular vein introduction sheath,right internal jugular vein introduction sheath,right internal jugular vein introduction sheath,,,OTH
right internal jugular vein placement,right internal jugular vein placement,right internal jugular vein placement,,,OTH
right internal jugular venous introduction sheet,right internal jugular venous introduction sheet,right internal jugular venous introduction sheet,,,OTH
right jugular introducer,right jugular introducer,right jugular introducer,,,OTH
right jugular line,right jugular line,right jugular line,,,OTH
right jugular line tip,right jugular line tip,right jugular line tip,,,OTH
right pectoral pacemaker,right pectoral pacemaker,right pectoral pacemaker,,,OTH
right peripherally inserted central catheter,right peripherally insert central catheter,right peripherally insert central catheter,,,OTH
right peripherally inserted central catheter lead,right peripherally insert central catheter lead,right peripherally insert central catheter lead,,,OTH
right peripherally inserted central catheter line,right peripherally insert central catheter line,right peripherally insert central catheter line,,,OTH
right peripherally inserted central catheter line tip,right peripherally insert central catheter line tip,right peripherally insert central catheter line tip,,,OTH
right peripherally inserted central catheter positioning,right peripherally insert central catheter,right peripherally insert central catheter,,,OTH
right pic line,right pic line,right pic line,,,OTH
right pigtail catheter,right pigtail catheter,right pigtail catheter,,,OTH
right pleural catheter,right pleural catheter,right pleural catheter,,,OTH
right pleural pigtail catheter,right pleural pigtail catheter,right pleural pigtail catheter,,,OTH
right pleural tube,right pleural tube,right pleural tube,,,OTH
right proximal humerus hardware,right proximal humerus hardware,right proximal humerus hardware,,,OTH
right shoulder arthroplasty,right shoulder arthroplasty,right shoulder arthroplasty,,,OTH
right subclavian catheter,right subclavian catheter,right subclavian catheter,,,OTH
right subclavian central line,right subclavian central line,right subclavian central line,,,OTH
right subclavian central venous line,right subclavian central venous line,right subclavian central venous line,,,OTH
right subclavian line,right subclavian line,right subclavian line,,,OTH
right subclavian line positioning,right subclavian line,right subclavian line,,,OTH
right subclavian line tip,right subclavian line tip,right subclavian line tip,,,OTH
right subclavian stent,right subclavian stent,right subclavian stent,,,OTH
right subclavian triple-lumen catheter,right subclavian triple-lumen catheter,right subclavian triple-lumen catheter,,,OTH
right subclavian vascular stent,right subclavian vascular stent,right subclavian vascular stent,,,OTH
right subclavian vein stent,right subclavian vein stent,right subclavian vein stent,,,OTH
right thoracocentesis,right thoracocentesis,right thoracocentesis,,,OTH
right thoracotomy,right thoracotomy,right thoracotomy,,,OTH
right transjugular central venous catheter,right transjugular central venous catheter,right transjugular central venous catheter,,,OTH
right upper chest wall resection,right upper chest wall resection,right upper chest wall resection,,,OTH
right upper lobe lobectomy,right upper lobe lobectomy,right upper lobe lobectomy,,,OTH
right upper lobe resection,right upper lobe resection,right upper lobe resection,,,OTH
right upper lobectomy,right upper lobectomy,right upper lobectomy,,,OTH
right upper lung surgery,right upper lung surgery,right upper lung surgery,,,OTH
right vats,right VATS,right Video-Assisted Thoracic Surgery,,,OTH
right venous introduction sheath,right venous introduction sheath,right venous introduction sheath,,,OTH
right ventricular leads,right ventricular leads,right ventricular lead,,,OTH
right ventricular lead,right ventricular lead,right ventricular lead,,,OTH
right ventricular pacing leads,right ventricular pacing leads,right ventricular pace lead,,,OTH
right ventricular pacer defibrillator leads,right ventricular pacer defibrillator leads,right ventricular pacer defibrillator lead,,,OTH
right ventricular pacer defibrillator lead,right ventricular pacer defibrillator lead,right ventricular pacer defibrillator lead,,,OTH
right ventricular pacer leads,right ventricular pacer leads,right ventricular pacer lead,,,OTH
right video-assisted decortication of lung,right video-assisted decortication of lung,right video-assisted decortication of lung,,,OTH
right-sided chest tube,right-sided chest tube,right-sided chest tube,,,OTH
right-sided pigtail catheter,right-sided pigtail catheter,right-sided pigtail catheter,,,OTH
right-sided surgical drain,right-sided surgical drain,right-sided surgical drain,,,OTH
rigid bronch,rigid bronch,rigid bronchoscope,,,OTH
rij cvl placement,rij cvl,right internal jugular central venous line,,,OTH
rings,rings,rings,,,OTH
rituximab,rituximab,rituximab,,,OTH
sct,sct,stem cell transplant,,,OTH
sct stem cell transplant,sct stem cell transplant,sct stem cell transplant,,,OTH
sedated,sedated,sedate,,,OTH
septal closure device,septal closure device,septal closure device,,,OTH
shoulder arthroplasty,shoulder arthroplasty,shoulder arthroplasty,,,OTH
shoulder arthroplasties,shoulder arthroplasties,shoulder arthroplasty,,,OTH
shoulder prostheses,shoulder prostheses,shoulder prosthesis,,,OTH
shunt catheter,shunt catheter,shunt catheter,,,OTH
side hole,side hole,side hole,,,OTH
side port,side port,side port,,,OTH
side port of the tube,side port of the tube,side port of the tube,,,OTH
sidehole,sidehole,sidehole,,,OTH
sidehole of the tube,sidehole of the tube,sidehole of the tube,,,OTH
sideport,sideport,sideport,,,OTH
single lead pacemaker,single lead pacemaker,single lead pacemaker,,,OTH
single lead pacer,single lead pacer,single lead pacer,,,OTH
single-lead pacer,single-lead pacer,single-lead pacer,,,OTH
small caliber pigtail,small caliber pigtail,small caliber pigtail,,,OTH
small caliber pigtail end catheter,small caliber pigtail end catheter,small caliber pigtail end catheter,,,OTH
soft tissue anchors,soft tissue anchors,soft tissue anchor,,,OTH
spinal epidural catheter,spinal epidural catheter,spinal epidural catheter,,,OTH
spinal fixation hardware,spinal fixation hardware,spinal fixation hardware,,,OTH
spinal fusion hardware,spinal fusion hardware,spinal fusion hardware,,,OTH
spinal hardware,spinal hardware,spinal hardware,,,OTH
spinal hardware device,spinal hardware device,spinal hardware device,,,OTH
spinal reconstruction,spinal reconstruction,spinal reconstruction,,,OTH
spinal stabilization,spinal stabilization,spinal stabilization,,,OTH
spinal stabilization hardware,spinal stabilization hardware,spinal stabilization hardware,,,OTH
spinal surgical hardware,spinal surgical hardware,spinal surgical hardware,,,OTH
splenectomy,splenectomy,splenectomy,,,OTH
stabilization hardware,stabilization hardware,stabilization hardware,,,OTH
stabilization surgery,stabilization surgery,stabilization surgery,,,OTH
staple,staple,staple,,,OTH
status post sternotomy,sternotomy,sternotomy,,,OTH
stem cell transplant,stem cell transplant,stem cell transplant,,,OTH
stents,stents,stent,,,OTH
stent,stent,stent,,,OTH
stent catheters,stent catheters,stent catheter,,,OTH
stent placement,stent placement,stent placement,,,OTH
stent position,stent,stent,,,OTH
stenting,stenting,stenting,,,OTH
sternal augmentation and stabilization device,sternal augmentation and stabilization device,sternal augmentation and stabilization device,,,OTH
sternal cerclage wires,sternal cerclage wires,sternal cerclage wire,,,OTH
sternal closure devices,sternal closure devices,sternal closure devices,,,OTH
sternal debridement,sternal debridement,sternal debridement,,,OTH
sternal fixations,sternal fixations,sternal fixation,,,OTH
sternal hardware,sternal hardware,sternal hardware,,,OTH
sternal plating,sternal plating,sternal plating,,,OTH
sternal reconstruction,sternal reconstruction,sternal reconstruction,,,OTH
sternal rewiring,sternal rewiring,sternal rewire,,,OTH
sternal rewire,sternal rewire,sternal rewire,,,OTH
sternal rib rewiring,sternal rib rewiring,sternal rib rewire,,,OTH
sternal sutures,sternal sutures,sternal suture,,,OTH
sternal washout,sternal washout,sternal washout,,,OTH
sternal wires,sternal wires,sternal wire,,,OTH
sternal wiring,sternal wiring,sternal wiring,,,OTH
sternal wound debridement,sternal wound debridement,sternal wound debridement,,,OTH
sternectomy,sternectomy,sternectomy,,,OTH
sternotomy,sternotomy,sternotomy,,,OTH
sternotomy sutures,sternotomy sutures,sternotomy suture,,,OTH
sternotomy wire,sternotomy wire,sternotomy wire,,,OTH
sternotomy wires,sternotomy wires,sternotomy wire,,,OTH
sternum removal,sternum removal,sternum removal,,,OTH
steroids,steroids,steroid,,,OTH
subclavian access line,subclavian access line,subclavian access line,,,OTH
subclavian approach port tip,subclavian approach port tip,subclavian approach port tip,,,OTH
subclavian catheter,subclavian catheter,subclavian catheter,,,OTH
subclavian catheter tip,subclavian catheter tip,subclavian catheter tip,,,OTH
subclavian central catheter,subclavian central catheter,subclavian central catheter,,,OTH
subclavian central line,subclavian central line,subclavian central line,,,OTH
subclavian double-lumen catheter,subclavian double-lumen catheter,subclavian double-lumen catheter,,,OTH
subclavian hemodialysis catheter,subclavian hemodialysis catheter,subclavian hemodialysis catheter,,,OTH
subclavian infusion port,subclavian infusion port,subclavian infusion port,,,OTH
subclavian large catheter tip,subclavian large catheter tip,subclavian large catheter tip,,,OTH
subclavian line,subclavian line,subclavian line,,,OTH
subclavian line tip,subclavian line tip,subclavian line tip,,,OTH
subclavian peripherally inserted central catheter line,subclavian peripherally inserted central catheter line,subclavian peripherally inserted central catheter line,,,OTH
subclavian placement,subclavian,subclavian,,,OTH
subclavian stent,subclavian stent,subclavian stent,,,OTH
subclavian vascular stent,subclavian vascular stent,subclavian vascular stent,,,OTH
subclavian vein line tip,subclavian vein line tip,subclavian vein line tip,,,OTH
subclavian vein stent,subclavian vein stent,subclavian vein stent,,,OTH
subclavian venous stent,subclavian venous stent,subclavian venous stent,,,OTH
subclavian/ brachiocephalic stent,subclavian/ brachiocephalic stent,subclavian/ brachiocephalic stent,,,OTH
subclavian/brachiocephalic venous stents,subclavian/brachiocephalic venous stents,subclavian/brachiocephalic venous stent,,,OTH
subclavian/brachiocephalic venous stent,subclavian/brachiocephalic venous stent,subclavian/brachiocephalic venous stent,,,OTH
subtotal colectomy,subtotal colectomy,subtotal colectomy,,,OTH
support and indwelling lines,support and indwelling lines,support and indwell line,,,OTH
support and monitoring devices,support and monitoring devices,support and monitoring devices,,,OTH
supporting devices,supporting devices,support devices,,,OTH
support devices,support devices,support devices,,,OTH
support lines and tubes,support lines and tubes,support line and tube,,,OTH
support structures,support structures,support structure,,,OTH
supraclavicular dialysis catheter,supraclavicular dialysis catheter,supraclavicular dialysis catheter,,,OTH
supraclavicular triple-lumen catheter,supraclavicular triple-lumen catheter,supraclavicular triple-lumen catheter,,,OTH
surgery,surgery,surgery,,,OTH
surgical,surgical,surgical,,,OTH
surgical anchors,surgical anchors,surgical anchor,,,OTH
surgical catheter,surgical catheter,surgical catheter,,,OTH
surgical chain,surgical chain,surgical chain,,,OTH
surgical chain sutures,surgical chain sutures,surgical chain suture,,,OTH
